Date,Open,High,Low,Close ,Adj Close ,
2011-01-07,"11,696.86","11,726.94","11,599.68","11,674.76","11,674.76",
2011-01-14,"11,732.13","11,794.15","11,698.83","11,787.38","11,787.38",
2011-01-21,"11,822.95","11,905.48","11,822.80","11,871.84","11,871.84",
2011-01-28,"11,990.36","12,012.42","11,803.04","11,823.70","11,823.70",
2011-02-04,"12,061.73","12,092.42","12,025.78","12,092.15","12,092.15",
2011-02-11,"12,227.78","12,285.94","12,180.48","12,273.26","12,273.26",
2011-02-18,"12,318.67","12,391.29","12,303.23","12,391.25","12,391.25",
2011-02-25,"12,060.93","12,151.03","12,060.93","12,130.45","12,130.45",
2011-03-04,"12,258.88","12,271.37","12,079.51","12,169.88","12,169.88",
2011-03-11,"11,976.96","12,087.01","11,936.32","12,044.40","12,044.40",
2011-03-18,"11,777.23","11,927.09","11,777.23","11,858.52","11,858.52",
2011-03-25,"12,170.71","12,259.79","12,170.71","12,220.59","12,220.59",
2011-04-01,"12,321.02","12,419.71","12,321.02","12,376.72","12,376.72",
2011-04-08,"12,409.87","12,450.36","12,320.72","12,380.05","12,380.05",
2011-04-15,"12,285.45","12,369.27","12,272.58","12,341.83","12,341.83",
2011-04-21,"12,453.62","12,506.06","12,447.56","12,505.99","12,505.99",
2011-04-29,"12,763.46","12,832.83","12,751.13","12,810.54","12,810.54",
2011-05-06,"12,580.76","12,759.23","12,579.93","12,638.74","12,638.74",
2011-05-13,"12,695.65","12,714.50","12,543.19","12,595.75","12,595.75",
2011-05-20,"12,604.72","12,604.83","12,485.86","12,512.04","12,512.04",
2011-05-27,"12,398.06","12,483.81","12,397.69","12,441.58","12,441.58",
2011-06-03,"12,247.80","12,247.87","12,104.03","12,151.26","12,151.26",
2011-06-10,"12,124.17","12,124.85","11,937.42","11,951.91","11,951.91",
2011-06-17,"11,962.66","12,072.89","11,962.51","12,004.36","12,004.36",
2011-06-24,"12,049.24","12,057.19","11,925.42","11,934.58","11,934.58",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,